Thigh,Age,Arm,Weight,Seated,Leg,HtShoes,Ht
0,0.01,0.1,0.11,0.15,0.17,0.18,0.18
0,0.01,0.1,0.11,0.15,0.17,0.18,0.18
0,0.01,0.1,0.11,0.15,0.17,0.18,0.18
0,0.01,0.1,0.11,0.15,0.17,0.18,0.18
0.01,0.01,0.1,0.11,0.15,0.17,0.18,0.18
0.01,0.01,0.1,0.11,0.15,0.17,0.18,0.18
0,0.01,0.1,0.11,0.15,0.17,0.18,0.18
0,0.01,0.1,0.11,0.15,0.17,0.18,0.18
0,0.01,0.1,0.11,0.15,0.17,0.18,0.18
0.01,0.07,0.09,0.11,0.14,0.16,0.16,0.16
0,0.01,0.1,0.11,0.15,0.17,0.18,0.18
0,0.01,0.1,0.11,0.15,0.17,0.18,0.18
0.01,0.01,0.09,0.11,0.15,0.17,0.18,0.18
0,0.01,0.1,0.11,0.15,0.17,0.18,0.18
0.01,0.01,0.09,0.11,0.15,0.17,0.17,0.18
0,0.01,0.1,0.11,0.15,0.17,0.18,0.18
0.01,0.01,0.09,0.11,0.15,0.17,0.18,0.18
0.01,0.01,0.09,0.11,0.15,0.17,0.17,0.18
0,0.01,0.1,0.11,0.15,0.17,0.18,0.18
0,0.01,0.1,0.11,0.15,0.17,0.18,0.18
